dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.379000,24.481447,0.000600,0.059953,2.997651,149.882543,3.624741
0.020000,18.379130,24.481515,0.000746,0.007348,-2.630238,-281.394418,3.625013
0.020000,18.379391,24.481652,0.001041,0.014713,0.368218,149.922757,3.625556
0.020000,18.374868,24.479271,0.006152,0.255569,12.042828,583.730508,3.626373
0.020000,18.366907,24.475073,0.015152,0.450014,9.722256,-116.028593,3.627466
0.020000,18.356966,24.469815,0.026398,0.562277,5.613151,-205.455227,3.628840
0.020000,18.345050,24.463488,0.039889,0.674558,5.614010,0.042926,3.630499
0.020000,18.331170,24.456087,0.055619,0.786499,5.597075,-0.846754,3.632449
0.020000,18.315334,24.447600,0.073586,0.898368,5.593456,-0.180922,3.634697
0.020000,18.297553,24.438015,0.093786,1.009982,5.580701,-0.637764,3.637252
0.020000,18.277841,24.427321,0.116212,1.121286,5.565214,-0.774369,3.640122
0.020000,18.256213,24.415502,0.140859,1.232344,5.552858,-0.617767,3.643319
0.020000,18.232684,24.402541,0.167722,1.343150,5.540330,-0.626436,3.646855
0.020000,18.207273,24.388421,0.196792,1.453500,5.517485,-1.142215,3.650743
0.020000,18.180004,24.373122,0.228060,1.563402,5.495091,-1.119741,3.654999
0.020000,18.150898,24.356622,0.261517,1.672880,5.473903,-1.059360,3.659641
0.020000,18.119982,24.338897,0.297154,1.781836,5.447803,-1.305027,3.664687
0.020000,18.087285,24.319923,0.334957,1.890164,5.416402,-1.570064,3.670159
0.020000,18.052840,24.299671,0.374915,1.997881,5.385864,-1.526899,3.676082
0.020000,18.016681,24.278110,0.417014,2.104935,5.352668,-1.659776,3.682481
0.020000,17.978852,24.255211,0.461234,2.211035,5.305023,-2.382248,3.689387
0.020000,17.939392,24.230937,0.507562,2.316380,5.267234,-1.889451,3.696834
0.020000,17.898356,24.205253,0.555974,2.420580,5.210034,-2.859982,3.704856
0.020000,17.855792,24.178117,0.606451,2.523873,5.164656,-2.268925,3.713498
0.020000,17.811766,24.149491,0.658965,2.625718,5.092207,-3.622435,3.722803
0.020000,17.766345,24.119329,0.713490,2.726209,5.024566,-3.382054,3.732824
0.020000,17.719601,24.087583,0.769994,2.825248,4.951942,-3.631197,3.743618
0.020000,17.671620,24.054205,0.828443,2.922438,4.859497,-4.622269,3.755248
0.020000,17.622495,24.019143,0.888797,3.017709,4.763588,-4.795427,3.767788
0.020000,17.572329,23.982342,0.951014,3.110822,4.655615,-5.398652,3.781318
0.020000,17.521239,23.943747,1.015044,3.201496,4.533720,-6.094779,3.795927
0.020000,17.469354,23.903299,1.080831,3.289374,4.393870,-6.992459,3.811719
0.020000,17.416822,23.860941,1.148314,3.374128,4.237709,-7.808098,3.828805
0.020000,17.363802,23.816610,1.217425,3.455554,4.071310,-8.319927,3.847315
0.020000,17.310477,23.770248,1.288086,3.533056,3.875097,-9.810663,3.867391
0.020000,17.257050,23.721798,1.360210,3.606182,3.656292,-10.940244,3.889193
0.020000,17.203748,23.671205,1.433699,3.674486,3.415214,-12.053887,3.912898
0.020000,17.150819,23.618419,1.508451,3.737590,3.155222,-12.999587,3.938702
0.020000,17.098545,23.563397,1.584346,3.794744,2.857688,-14.876720,3.966821
0.020000,17.047230,23.506106,1.661258,3.845592,2.542399,-15.764472,3.997487
0.020000,16.997209,23.446523,1.739054,3.889829,2.211821,-16.528895,4.030950
0.020000,16.948842,23.384642,1.817595,3.927007,1.858942,-17.643930,4.067464
0.020000,16.902517,23.320471,1.896740,3.957286,1.513948,-17.249713,4.107285
0.020000,16.858636,23.254032,1.976362,3.981078,1.189598,-16.217476,4.150653
0.020000,16.817614,23.185362,2.056352,3.999491,0.920631,-13.448381,4.197768
0.020000,16.779870,23.114502,2.136637,4.014253,0.738099,-9.126597,4.248761
0.020000,16.745810,23.041490,2.217203,4.028320,0.703368,-1.736530,4.303661
0.020000,16.715824,22.966341,2.298114,4.045515,0.859735,7.818354,4.362349
0.020000,16.690276,22.889037,2.379530,4.070833,1.265884,20.307439,4.424527
0.020000,16.669507,22.809506,2.461728,4.109887,1.952709,34.341257,4.489688
0.020000,16.653840,22.727624,2.545096,4.168381,2.924730,48.601067,4.557115
0.020000,16.643593,22.643221,2.630118,4.251120,4.136921,60.609509,4.625911
0.020000,16.639083,22.556113,2.717343,4.361241,5.506079,68.457915,4.695068
0.020000,16.640632,22.466137,2.807332,4.499461,6.910986,70.245352,4.763549
0.020000,16.648548,22.373195,2.900611,4.663949,8.224403,65.670874,4.830383
0.020000,16.663106,22.277278,2.997626,4.850739,9.339480,55.753837,4.894750
0.020000,16.684524,22.178482,3.098717,5.054543,10.190184,42.535185,4.956020
0.020000,16.712942,22.076993,3.204110,5.269660,10.755889,28.285241,5.013777
0.020000,16.748412,21.973064,3.313925,5.490765,11.055249,14.968031,5.067800
0.020000,16.790902,21.866991,3.428192,5.713334,11.128457,3.660389,5.118034
0.020000,16.840307,21.759081,3.546873,5.934078,11.037154,-4.565158,5.164548
0.020000,16.896460,21.649636,3.669883,6.150503,10.821273,-10.794074,5.207500
0.020000,16.959155,21.538931,3.797109,6.361258,10.537768,-14.175204,5.247101
0.020000,17.028158,21.427213,3.928419,6.565500,10.212064,-16.285218,5.283589
0.020000,17.103222,21.314694,4.063678,6.762990,9.874541,-16.876151,5.317214
0.020000,17.184099,21.201551,4.202755,6.953815,9.541208,-16.666661,5.348221
0.020000,17.270544,21.087932,4.345521,7.138298,9.224159,-15.852435,5.376847
0.020000,17.362321,20.973954,4.491856,7.316784,8.924292,-14.993335,5.403309
0.020000,17.459209,20.859709,4.641653,7.489838,8.652709,-13.579162,5.427812
0.020000,17.560998,20.745271,4.794810,7.657861,8.401167,-12.577131,5.450537
0.020000,17.667496,20.630693,4.951239,7.821432,8.178537,-11.131498,5.471651
0.020000,17.778526,20.516016,5.110858,7.980961,7.976432,-10.105206,5.491305
0.020000,17.893920,20.401269,5.273593,8.136757,7.789835,-9.329894,5.509630
0.020000,18.013532,20.286469,5.439383,8.289469,7.635583,-7.712598,5.526748
0.020000,17.220400,19.544365,6.525558,54.308762,2300.964672,114666.454461,2.396194
0.020000,17.092051,19.661510,6.699329,8.688547,-2281.010781,-229098.772624,2.407432
0.020000,16.960694,19.778691,6.875357,8.801415,5.643419,114332.709958,2.418929
