dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.127359,24.961111,0.000597,0.059652,2.982601,149.130070,3.811289
0.020000,18.127359,24.961111,0.002983,0.178956,5.965203,149.130070,3.811082
0.020000,18.127359,24.961111,0.007755,0.298260,5.965203,0.000000,3.810667
0.020000,18.127359,24.961111,0.014913,0.417564,5.965203,0.000000,3.810045
0.020000,18.125197,24.959406,0.024457,0.536868,5.965203,0.000000,3.809214
0.020000,18.115823,24.952024,0.036388,0.656172,5.965203,-0.000000,3.808175
0.020000,18.104566,24.943179,0.050704,0.775476,5.965203,0.000000,3.806927
0.020000,18.091420,24.932879,0.067407,0.894780,5.965203,0.000000,3.805467
0.020000,18.076376,24.921130,0.086495,1.014084,5.965203,0.000000,3.803796
0.020000,18.059428,24.907942,0.107970,1.133389,5.965203,0.000000,3.801911
0.020000,18.040567,24.893326,0.131831,1.252693,5.965203,-0.000000,3.799812
0.020000,18.019783,24.877293,0.158078,1.371997,5.965203,0.000000,3.797495
0.020000,17.997070,24.859860,0.186711,1.491301,5.965203,-0.000000,3.794961
0.020000,17.972415,24.841039,0.217730,1.610605,5.965203,0.000000,3.792206
0.020000,17.945802,24.820845,0.251135,1.729909,5.965203,-0.000000,3.789228
0.020000,17.917224,24.799298,0.286926,1.849213,5.965203,0.000000,3.786025
0.020000,17.886666,24.776417,0.325104,1.968517,5.965203,-0.000000,3.782594
0.020000,17.854111,24.752220,0.365667,2.087821,5.965203,0.000000,3.778934
0.020000,17.819543,24.726730,0.408616,2.207125,5.965203,0.000000,3.775040
0.020000,17.782947,24.699969,0.453952,2.326429,5.965203,0.000000,3.770910
0.020000,17.744305,24.671964,0.501674,2.445733,5.965203,-0.000000,3.766542
0.020000,17.703602,24.642742,0.551781,2.565037,5.965203,0.000000,3.761931
0.020000,17.660814,24.612330,0.604275,2.684341,5.965203,0.000000,3.757075
0.020000,17.615926,24.580761,0.659155,2.803645,5.965203,0.000000,3.751971
0.020000,17.568911,24.548062,0.716421,2.922949,5.965203,-0.000000,3.746614
0.020000,17.519753,24.514271,0.776073,3.042253,5.965203,0.000000,3.741002
0.020000,17.468428,24.479422,0.838111,3.161557,5.965203,0.000000,3.735130
