dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.875718,25.440775,0.000600,0.059953,2.997651,149.882543,3.624741
0.020000,17.875588,25.440707,0.000746,0.007348,-2.630238,-281.394418,3.625013
0.020000,17.875327,25.440570,0.001041,0.014713,0.368218,149.922757,3.625556
0.020000,17.870021,25.437777,0.007037,0.299816,14.255165,694.347383,3.626373
0.020000,17.861012,25.433026,0.017222,0.509231,10.470741,-189.221214,3.627466
0.020000,17.849757,25.427072,0.029955,0.636677,6.372330,-204.920572,3.628840
0.020000,17.836253,25.419903,0.045244,0.764423,6.387275,0.747247,3.630499
0.020000,17.820509,25.411508,0.063086,0.892125,6.385120,-0.107724,3.632449
0.020000,17.802526,25.401870,0.083489,1.020151,6.401269,0.807444,3.634697
0.020000,17.782309,25.390972,0.106456,1.148360,6.410454,0.459249,3.637252
0.020000,17.759864,25.378795,0.131992,1.276762,6.420135,0.484062,3.640122
0.020000,17.735197,25.365316,0.160102,1.405507,6.437247,0.855576,3.643319
0.020000,17.708312,25.350506,0.190795,1.534674,6.458351,1.055241,3.646855
0.020000,17.679220,25.334340,0.224078,1.664118,6.472194,0.692124,3.650743
0.020000,17.647929,25.316785,0.259957,1.793947,6.491436,0.962078,3.654999
0.020000,17.614449,25.297805,0.298442,1.924296,6.517433,1.299868,3.659641
0.020000,17.578790,25.277362,0.339546,2.055169,6.543693,1.313023,3.664687
0.020000,17.540966,25.255412,0.383277,2.186576,6.570334,1.332025,3.670159
0.020000,17.500990,25.231908,0.429651,2.318679,6.605161,1.741380,3.676082
0.020000,17.458877,25.206797,0.478683,2.451578,6.644936,1.988723,3.682481
0.020000,17.414647,25.180023,0.530385,2.585114,6.676775,1.591968,3.689387
0.020000,17.368317,25.151522,0.584779,2.719715,6.730060,2.664235,3.696834
0.020000,17.319913,25.121227,0.641882,2.855150,6.771744,2.084200,3.704856
0.020000,17.269456,25.089059,0.701721,2.991948,6.839901,3.407847,3.713498
0.020000,17.216979,25.054937,0.764316,3.129751,6.890154,2.512644,3.722803
0.020000,17.162514,25.018769,0.829696,3.268989,6.961928,3.588702,3.732824
0.020000,17.106097,24.980453,0.897894,3.409906,7.045832,4.195216,3.743618
0.020000,17.047773,24.939879,0.968943,3.552431,7.126250,4.020912,3.755248
0.020000,16.987591,24.896925,1.042881,3.696941,7.225477,4.961312,3.767788
0.020000,16.925608,24.851455,1.119755,3.843664,7.336173,5.534814,3.781318
