dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.228419,17.401463,0.000598,0.059754,2.987718,149.385895,0.035658
0.020000,5.228288,17.401459,0.000728,0.006530,-2.661213,-282.446548,0.035899
0.020000,5.228027,17.401449,0.000989,0.013062,0.326572,149.389272,0.036382
0.020000,5.227636,17.401435,0.001381,0.019596,0.326707,0.006712,0.037105
0.020000,5.234089,17.401678,0.007839,0.322892,15.164794,741.904362,0.038070
0.020000,5.245376,17.402115,0.019135,0.564772,12.094030,-153.538212,0.039278
0.020000,5.258920,17.402657,0.032690,0.677772,5.649989,-322.202055,0.040728
0.020000,5.274720,17.403314,0.048504,0.790679,5.645371,-0.230870,0.042423
0.020000,5.292773,17.404098,0.066574,0.903507,5.641367,-0.200184,0.044363
0.020000,5.313081,17.405022,0.086902,1.016424,5.645883,0.225769,0.046548
0.020000,5.335640,17.406100,0.109487,1.129226,5.640089,-0.289685,0.048982
0.020000,5.360446,17.407350,0.134324,1.241883,5.632861,-0.361415,0.051663
0.020000,5.387502,17.408789,0.161419,1.354740,5.642851,0.499513,0.054596
0.020000,5.416804,17.410437,0.190767,1.467390,5.632503,-0.517410,0.057780
0.020000,5.448348,17.412316,0.222367,1.580009,5.630928,-0.078722,0.061218
0.020000,5.482133,17.414449,0.256219,1.692602,5.629643,-0.064261,0.064911
0.020000,5.518155,17.416862,0.292322,1.805119,5.625878,-0.188273,0.068862
0.020000,5.556410,17.419581,0.330674,1.917594,5.623753,-0.106254,0.073072
0.020000,5.596897,17.422636,0.371276,2.030122,5.626399,0.132313,0.077543
0.020000,5.639609,17.426057,0.414125,2.142435,5.615643,-0.537777,0.082277
0.020000,5.684542,17.429875,0.459219,2.254732,5.614834,-0.040462,0.087275
0.020000,5.731692,17.434125,0.506560,2.367041,5.615458,0.031172,0.092541
0.020000,5.781053,17.438844,0.556146,2.479314,5.613633,-0.091224,0.098076
0.020000,5.832619,17.444069,0.607976,2.591504,5.609519,-0.205683,0.103882
0.020000,5.886382,17.449839,0.662048,2.703570,5.603292,-0.311373,0.109960
