dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.247729,16.860143,0.000238,0.023810,1.190476,59.523810,0.037434
0.020000,5.247729,16.860143,0.001190,0.071429,2.380952,59.523810,0.037425
0.020000,5.247729,16.860143,0.003333,0.142857,3.571429,59.523810,0.037403
0.020000,5.247906,16.860149,0.007143,0.238095,4.761905,59.523810,0.037364
0.020000,5.253855,16.860371,0.013095,0.357143,5.952381,59.523810,0.037303
0.020000,5.262182,16.860682,0.021429,0.476190,5.952381,0.000000,0.037218
0.020000,5.272889,16.861080,0.032143,0.595238,5.952381,0.000000,0.037110
0.020000,5.285975,16.861565,0.045238,0.714286,5.952381,-0.000000,0.036977
0.020000,5.301441,16.862136,0.060714,0.833333,5.952381,0.000000,0.036820
0.020000,5.319286,16.862792,0.078571,0.952381,5.952381,-0.000000,0.036639
0.020000,5.339511,16.863531,0.098810,1.071429,5.952381,0.000000,0.036435
0.020000,5.362115,16.864352,0.121429,1.190476,5.952381,0.000000,0.036208
0.020000,5.387099,16.865254,0.146429,1.309524,5.952381,0.000000,0.035957
0.020000,5.414462,16.866235,0.173810,1.428571,5.952381,-0.000000,0.035684
0.020000,5.444205,16.867292,0.203571,1.547619,5.952381,0.000000,0.035388
0.020000,5.476328,16.868424,0.235714,1.666667,5.952381,0.000000,0.035070
0.020000,5.510831,16.869629,0.270238,1.785714,5.952381,-0.000000,0.034730
0.020000,5.547713,16.870904,0.307143,1.904762,5.952381,0.000000,0.034368
0.020000,5.586976,16.872246,0.346429,2.023810,5.952381,0.000000,0.033985
0.020000,5.628619,16.873653,0.388095,2.142857,5.952381,0.000000,0.033581
0.020000,5.672642,16.875123,0.432143,2.261905,5.952381,0.000000,0.033156
0.020000,5.719046,16.876652,0.478571,2.380952,5.952381,0.000000,0.032712
0.020000,5.767829,16.878237,0.527381,2.500000,5.952381,0.000000,0.032248
0.020000,5.818994,16.879875,0.578571,2.619048,5.952381,0.000000,0.031764
0.020000,5.872538,16.881563,0.632143,2.738095,5.952381,0.000000,0.031262
