dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.268002,16.318857,0.000238,0.023810,1.190476,59.523810,0.037434
0.020000,5.267996,16.318857,0.000243,0.000263,-1.177318,-118.389693,0.037425
0.020000,5.267985,16.318856,0.000255,0.000592,0.016442,59.687981,0.037403
0.020000,5.268140,16.318862,0.000411,0.007799,0.360335,17.194644,0.037364
0.020000,5.274056,16.319083,0.006331,0.295976,14.408882,702.427372,0.037303
0.020000,5.282337,16.319392,0.014618,0.414369,5.919636,-424.462312,0.037218
0.020000,5.292985,16.319788,0.025273,0.532764,5.919752,0.005798,0.037110
0.020000,5.306000,16.320270,0.038297,0.651162,5.919890,0.006888,0.036977
0.020000,5.321380,16.320838,0.053688,0.769563,5.920066,0.008812,0.036820
0.020000,5.339128,16.321490,0.071447,0.887969,5.920274,0.010408,0.036639
0.020000,5.359242,16.322225,0.091575,1.006379,5.920511,0.011856,0.036435
0.020000,5.381723,16.323042,0.114071,1.124795,5.920784,0.013652,0.036208
0.020000,5.406571,16.323939,0.138935,1.243216,5.921080,0.014782,0.035957
0.020000,5.433787,16.324915,0.166168,1.361645,5.921422,0.017097,0.035684
0.020000,5.463370,16.325966,0.195770,1.480080,5.921786,0.018189,0.035388
0.020000,5.495320,16.327092,0.227740,1.598524,5.922180,0.019707,0.035070
0.020000,5.529639,16.328290,0.262080,1.716976,5.922613,0.021642,0.034730
0.020000,5.566326,16.329558,0.298788,1.835438,5.923072,0.022971,0.034368
0.020000,5.605381,16.330894,0.337866,1.953909,5.923569,0.024863,0.033985
0.020000,5.646805,16.332294,0.379314,2.072391,5.924091,0.026096,0.033581
0.020000,5.690598,16.333756,0.423132,2.190884,5.924648,0.027841,0.033156
0.020000,5.736761,16.335276,0.469320,2.309389,5.925244,0.029773,0.032712
0.020000,5.785294,16.336853,0.517878,2.427906,5.925859,0.030786,0.032248
0.020000,5.836196,16.338483,0.568807,2.546436,5.926513,0.032708,0.031764
0.020000,5.889469,16.340162,0.622106,2.664980,5.927204,0.034505,0.031262
0.020000,5.945114,16.341888,0.677777,2.783539,5.927917,0.035671,0.030743
0.020000,6.003129,16.343656,0.735819,2.902112,5.928668,0.037567,0.030205
0.020000,6.063516,16.345464,0.796233,3.020701,5.929450,0.039107,0.029651
0.020000,6.126275,16.347308,0.859019,3.139306,5.930264,0.040703,0.029080
0.020000,6.191406,16.349183,0.924178,3.257928,5.931113,0.042415,0.028494
0.020000,6.258911,16.351087,0.991709,3.376568,5.931987,0.043701,0.027892
0.020000,6.328789,16.353015,1.061614,3.495226,5.932902,0.045750,0.027277
0.020000,6.401041,16.354963,1.133892,3.613903,5.933843,0.047068,0.026647
0.020000,6.475667,16.356928,1.208544,3.732599,5.934817,0.048702,0.026005
0.020000,6.552668,16.358906,1.285570,3.851316,5.935825,0.050411,0.025350
0.020000,6.632044,16.360892,1.364971,3.970053,5.936863,0.051904,0.024684
0.020000,6.713796,16.362882,1.446747,4.088812,5.937938,0.053735,0.024007
0.020000,6.797924,16.364873,1.530899,4.207593,5.939039,0.055039,0.023320
0.020000,6.884429,16.366861,1.617427,4.326396,5.940177,0.056907,0.022624
0.020000,6.973312,16.368841,1.706332,4.445223,5.941344,0.058320,0.021921
0.020000,7.064572,16.370809,1.797613,4.564074,5.942546,0.060101,0.021209
0.020000,7.158211,16.372762,1.891272,4.682950,5.943777,0.061561,0.020492
0.020000,7.253991,16.374690,1.987072,4.789994,5.352200,-29.578833,0.019771
0.020000,7.351440,16.376582,2.084539,4.873345,4.167591,-59.230458,0.019050
0.020000,7.450082,16.378426,2.183199,4.932998,2.982652,-59.246968,0.018335
0.020000,7.549445,16.380212,2.282578,4.968946,1.797369,-59.264137,0.017628
0.020000,7.649054,16.381934,2.382201,4.981181,0.611732,-59.281851,0.016933
0.020000,7.748671,16.383587,2.481833,4.981557,0.018803,-29.646443,0.016252
0.020000,7.848297,16.385173,2.581471,4.981933,0.018806,0.000130,0.015585
0.020000,7.947932,16.386693,2.681117,4.982309,0.018806,0.000041,0.014932
0.020000,8.047575,16.388149,2.780771,4.982685,0.018808,0.000078,0.014292
0.020000,8.147227,16.389542,2.880432,4.983061,0.018809,0.000075,0.013667
0.020000,8.246886,16.390873,2.980101,4.983437,0.018810,0.000042,0.013055
0.020000,8.346555,16.392145,3.079777,4.983814,0.018811,0.000054,0.012458
0.020000,8.446231,16.393357,3.179461,4.984190,0.018812,0.000037,0.011874
0.020000,8.545916,16.394513,3.279153,4.984566,0.018813,0.000043,0.011304
