dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.401480,25.884854,0.000595,0.059542,2.977114,148.855717,5.757877
0.020000,20.401467,25.884861,0.000610,0.000710,-2.941593,-295.935349,5.757903
0.020000,20.401443,25.884875,0.000638,0.001415,0.035244,148.841830,5.757955
0.020000,20.402360,25.884343,0.001698,0.052998,2.579141,127.194876,5.758033
0.020000,20.410555,25.879596,0.011169,0.473536,21.026889,922.387351,5.758136
0.020000,20.420800,25.873662,0.023008,0.591975,5.921965,-755.246187,5.758263
0.020000,20.433096,25.866542,0.037217,0.710445,5.923505,0.077025,5.758413
0.020000,20.447445,25.858237,0.053796,0.828954,5.925454,0.097440,5.758585
0.020000,20.463847,25.848747,0.072745,0.947455,5.925042,-0.020615,5.758777
0.020000,20.482304,25.838074,0.094066,1.066050,5.929715,0.233667,5.758989
0.020000,20.502817,25.826217,0.117759,1.184656,5.930299,0.029190,5.759217
0.020000,20.525389,25.813178,0.143826,1.303349,5.934696,0.219858,5.759460
0.020000,20.550020,25.798958,0.172268,1.422086,5.936808,0.105615,5.759716
0.020000,20.576713,25.783556,0.203086,1.540894,5.940403,0.179709,5.759982
0.020000,20.605470,25.766973,0.236281,1.659768,5.943718,0.165753,5.760256
0.020000,20.636292,25.749212,0.271855,1.778683,5.945751,0.101658,5.760536
0.020000,20.669182,25.730270,0.309809,1.897709,5.951323,0.278628,5.760818
0.020000,20.704142,25.710150,0.350145,2.016812,5.955143,0.190973,5.761100
0.020000,20.741174,25.688852,0.392865,2.135989,5.958838,0.184783,5.761378
0.020000,20.780279,25.666374,0.437970,2.255262,5.963642,0.240161,5.761650
0.020000,20.821461,25.642718,0.485463,2.374633,5.968556,0.245740,5.761911
0.020000,20.864721,25.617884,0.535344,2.494065,5.971592,0.151795,5.762158
0.020000,20.910060,25.591869,0.587617,2.613633,5.978393,0.340048,5.762388
0.020000,20.957482,25.564674,0.642283,2.733296,5.983150,0.237843,5.762597
0.020000,21.006986,25.536297,0.699344,2.853062,5.988305,0.257734,5.762781
0.020000,21.058576,25.506736,0.758803,2.972945,5.994157,0.292616,5.762935
0.020000,21.112253,25.475990,0.820662,3.092947,6.000087,0.296495,5.763055
0.020000,21.168017,25.444055,0.884923,3.213060,6.005675,0.279397,5.763137
0.020000,21.225871,25.410928,0.951589,3.333314,6.012663,0.349377,5.763176
0.020000,21.285814,25.376606,1.020663,3.453698,6.019200,0.326890,5.763167
0.020000,21.347848,25.341084,1.092148,3.574223,6.026261,0.353051,5.763105
0.020000,21.411973,25.304357,1.166046,3.694895,6.033599,0.366883,5.762985
0.020000,21.478189,25.266419,1.242360,3.815724,6.041482,0.394164,5.762799
0.020000,21.546497,25.227263,1.321095,3.936726,6.050075,0.429650,5.762544
0.020000,21.616895,25.186880,1.402253,4.057906,6.059020,0.447249,5.762210
0.020000,21.689383,25.145263,1.485838,4.179269,6.068115,0.454758,5.761793
0.020000,21.763960,25.102401,1.571855,4.300836,6.078351,0.511760,5.761284
0.020000,21.840624,25.058282,1.660307,4.422609,6.088668,0.515866,5.760675
0.020000,21.919373,25.012893,1.751201,4.544689,6.103981,0.765667,5.759957
0.020000,22.000205,24.966220,1.844540,4.666946,6.112873,0.444568,5.759121
0.020000,22.083117,24.918247,1.940330,4.789522,6.128800,0.796358,5.758155
0.020000,22.168106,24.868955,2.038579,4.912435,6.145635,0.841754,5.757050
0.020000,22.255167,24.818323,2.139293,5.035680,6.162241,0.830322,5.755790
0.020000,22.344295,24.766329,2.242478,5.159250,6.178543,0.815085,5.754363
0.020000,22.435487,24.712946,2.348145,5.283391,6.207043,1.425001,5.752752
0.020000,22.528734,24.658144,2.456304,5.407917,6.226281,0.961906,5.750939
0.020000,22.624030,24.601892,2.566964,5.532991,6.253678,1.369845,5.748904
0.020000,22.721367,24.544152,2.680139,5.658756,6.288280,1.730103,5.746623
0.020000,22.820737,24.484881,2.795842,5.785179,6.321146,1.643316,5.744071
0.020000,22.922129,24.424032,2.914092,5.912505,6.366292,2.257266,5.741215
0.020000,23.025532,24.361550,3.034906,6.040698,6.409666,2.168685,5.738022
0.020000,23.130934,24.297373,3.158310,6.170167,6.473446,3.189014,5.734447
0.020000,23.238319,24.231430,3.284325,6.300768,6.530060,2.830688,5.730444
0.020000,23.347673,24.163637,3.412988,6.433152,6.619179,4.455994,5.725952
0.020000,23.458978,24.093898,3.544337,6.567427,6.713744,4.728235,5.720901
