dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.129846,25.416222,0.000595,0.059542,2.977114,148.855717,5.757877
0.020000,20.129846,25.416222,0.002977,0.178627,5.954229,148.855717,5.757903
0.020000,20.129846,25.416222,0.007740,0.297711,5.954229,0.000000,5.757955
0.020000,20.130799,25.415669,0.014886,0.416796,5.954229,-0.000000,5.758033
0.020000,20.139042,25.410893,0.024412,0.535881,5.954229,0.000000,5.758136
0.020000,20.149347,25.404925,0.036321,0.654965,5.954229,0.000000,5.758263
0.020000,20.161714,25.397764,0.050611,0.774050,5.954229,0.000000,5.758413
0.020000,20.176143,25.389413,0.067283,0.893134,5.954229,-0.000000,5.758585
0.020000,20.192635,25.379871,0.086336,1.012219,5.954229,-0.000000,5.758777
0.020000,20.211191,25.369140,0.107772,1.131303,5.954229,0.000000,5.758989
0.020000,20.231811,25.357222,0.131588,1.250388,5.954229,0.000000,5.759217
0.020000,20.254497,25.344117,0.157787,1.369473,5.954229,-0.000000,5.759460
0.020000,20.279248,25.329827,0.186367,1.488557,5.954229,0.000000,5.759716
0.020000,20.306066,25.314353,0.217329,1.607642,5.954229,-0.000000,5.759982
0.020000,20.334952,25.297696,0.250673,1.726726,5.954229,0.000000,5.760256
0.020000,20.365905,25.279859,0.286398,1.845811,5.954229,-0.000000,5.760536
0.020000,20.398927,25.260841,0.324505,1.964895,5.954229,0.000000,5.760818
0.020000,20.434020,25.240645,0.364994,2.083980,5.954229,-0.000000,5.761100
0.020000,20.471182,25.219271,0.407865,2.203065,5.954229,0.000000,5.761378
0.020000,20.510415,25.196721,0.453117,2.322149,5.954229,0.000000,5.761650
0.020000,20.551720,25.172995,0.500751,2.441234,5.954229,0.000000,5.761911
0.020000,20.595095,25.148093,0.550766,2.560318,5.954229,-0.000000,5.762158
0.020000,20.640543,25.122017,0.603163,2.679403,5.954229,0.000000,5.762388
0.020000,20.688062,25.094765,0.657942,2.798487,5.954229,0.000000,5.762597
0.020000,20.737654,25.066339,0.715103,2.917572,5.954229,0.000000,5.762781
0.020000,20.789316,25.036736,0.774645,3.036657,5.954229,0.000000,5.762935
0.020000,20.843049,25.005958,0.836569,3.155741,5.954229,-0.000000,5.763055
0.020000,20.898852,24.974001,0.900875,3.274826,5.954229,0.000000,5.763137
0.020000,20.956724,24.940863,0.967562,3.393910,5.954229,0.000000,5.763176
0.020000,21.016663,24.906544,1.036631,3.512995,5.954229,0.000000,5.763167
0.020000,21.078668,24.871039,1.108082,3.632079,5.954229,-0.000000,5.763105
0.020000,21.142736,24.834344,1.181914,3.751164,5.954229,0.000000,5.762985
0.020000,21.208866,24.796456,1.258129,3.870249,5.954229,-0.000000,5.762799
