dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.858211,24.947590,0.000595,0.059542,2.977114,148.855717,5.757877
0.020000,19.858224,24.947583,0.000610,0.000710,-2.941593,-295.935349,5.757903
0.020000,19.858248,24.947568,0.000638,0.001415,0.035244,148.841830,5.757955
0.020000,19.859238,24.946995,0.001782,0.057216,2.790043,137.739970,5.758033
0.020000,19.867530,24.942191,0.011364,0.479107,21.094547,915.225179,5.758136
0.020000,19.877894,24.936188,0.023341,0.598854,5.987339,-755.360406,5.758263
0.020000,19.890331,24.928987,0.037713,0.718575,5.986056,-0.064135,5.758413
0.020000,19.904841,24.920588,0.054478,0.838268,5.984642,-0.070706,5.758585
0.020000,19.921423,24.910995,0.073636,0.957874,5.980309,-0.216654,5.758777
0.020000,19.940078,24.900207,0.095186,1.077486,5.980600,0.014532,5.758989
0.020000,19.960805,24.888227,0.119126,1.197011,5.976252,-0.217374,5.759217
0.020000,19.983605,24.875056,0.145456,1.316516,5.975270,-0.049123,5.759460
0.020000,20.008476,24.860696,0.174175,1.435947,5.971505,-0.188236,5.759716
0.020000,20.035419,24.845150,0.205281,1.555322,5.968779,-0.136297,5.759982
0.020000,20.064433,24.828419,0.238774,1.674629,5.965328,-0.172568,5.760256
0.020000,20.095518,24.810506,0.274651,1.793832,5.960154,-0.258661,5.760536
0.020000,20.128673,24.791413,0.312911,1.912994,5.958134,-0.101013,5.760818
0.020000,20.163897,24.771140,0.353552,2.032073,5.953938,-0.209805,5.761100
0.020000,20.201190,24.749691,0.396573,2.151058,5.949219,-0.235942,5.761378
0.020000,20.240551,24.727068,0.441972,2.269962,5.945223,-0.199818,5.761650
0.020000,20.281978,24.703271,0.489748,2.388781,5.940947,-0.213804,5.761911
0.020000,20.325470,24.678302,0.539897,2.507469,5.934389,-0.327904,5.762158
0.020000,20.371026,24.652164,0.592419,2.626093,5.931218,-0.158540,5.762388
0.020000,20.418643,24.624856,0.647311,2.744605,5.925581,-0.281848,5.762597
0.020000,20.468321,24.596380,0.704571,2.863003,5.919918,-0.283153,5.762781
0.020000,20.520056,24.566737,0.764197,2.981293,5.914506,-0.270591,5.762935
0.020000,20.573845,24.535925,0.826187,3.099467,5.908693,-0.290648,5.763055
0.020000,20.629687,24.503946,0.890537,3.217508,5.902022,-0.333539,5.763137
0.020000,20.687577,24.470799,0.957245,3.335431,5.896192,-0.291512,5.763176
0.020000,20.747512,24.436481,1.026310,3.453217,5.889294,-0.344894,5.763167
0.020000,20.809488,24.400993,1.097727,3.570862,5.882237,-0.352873,5.763105
0.020000,20.873499,24.364331,1.171494,3.688356,5.874694,-0.377136,5.762985
0.020000,20.939542,24.326492,1.247608,3.805693,5.866842,-0.392623,5.762799
0.020000,21.007609,24.287474,1.326065,3.922867,5.858733,-0.405428,5.762544
0.020000,21.077694,24.247271,1.406863,4.039865,5.849883,-0.442489,5.762210
0.020000,21.149790,24.205879,1.489996,4.156664,5.839943,-0.497030,5.761793
0.020000,21.223888,24.163291,1.575461,4.273258,5.829721,-0.511068,5.761284
0.020000,21.299980,24.119502,1.663253,4.389618,5.817962,-0.587953,5.760675
0.020000,21.378056,24.074501,1.753369,4.505803,5.809298,-0.433219,5.759957
